"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2021","31,528.6","30,650.1","31,528.6","30,552.5","13.24M","3.69%"
"08/27/2021","30,406.1","29,966.9","30,454.9","29,381.2","19.89M","-0.16%"
"08/26/2021","30,454.9","31,528.6","31,919.1","30,357.3","21.10M","-2.95%"
"08/25/2021","31,382.2","31,919.1","32,016.7","30,943.0","18.21M","-1.83%"
"08/24/2021","31,967.9","32,114.3","32,407.2","31,870.3","11.18M","0.15%"
"08/23/2021","31,919.1","31,919.1","32,651.2","31,870.3","19.70M","0.00%"
"08/20/2021","31,919.1","33,480.9","33,920.1","31,235.8","23.43M","-4.66%"
"08/19/2021","33,480.9","33,529.7","33,676.1","33,334.5","11.37M","-0.58%"
"08/18/2021","33,676.1","33,871.3","33,968.9","33,480.9","11.15M","-0.29%"
"08/17/2021","33,773.7","34,554.6","34,652.2","33,724.9","11.93M","-1.42%"
"08/16/2021","34,261.8","33,480.9","34,603.4","33,285.7","21.66M","2.33%"
"08/13/2021","33,480.9","33,578.5","33,773.7","32,895.2","12.21M","-0.29%"
"08/12/2021","33,578.5","33,676.1","33,920.1","33,480.9","13.12M","0.29%"
"08/11/2021","33,480.9","33,822.5","34,261.8","33,480.9","17.30M","-1.01%"
"08/10/2021","33,822.5","34,115.4","34,115.4","33,627.3","12.04M","0.29%"
"08/09/2021","33,724.9","33,285.7","33,773.7","33,139.2","15.50M","1.17%"
"08/06/2021","33,334.5","33,529.7","34,066.6","33,285.7","18.94M","-0.15%"
"08/05/2021","33,383.3","33,090.4","33,383.3","32,797.6","13.35M","0.59%"
"08/04/2021","33,188.0","33,480.9","33,627.3","33,090.4","15.29M","-0.29%"
"08/03/2021","33,285.7","32,944.0","33,285.7","32,456.0","22.28M","1.04%"
"08/02/2021","32,944.0","32,992.8","33,383.3","32,846.4","25.10M","-1.89%"
"07/30/2021","33,578.5","33,188.0","33,871.3","33,139.2","20.78M","1.48%"
"07/29/2021","33,090.4","32,504.8","33,334.5","32,407.2","17.02M","3.04%"
"07/28/2021","32,114.3","31,723.9","32,309.5","31,723.9","7.15M","1.23%"
"07/27/2021","31,723.9","31,723.9","32,553.6","31,626.3","15.90M","1.09%"
"07/26/2021","31,382.2","31,431.0","31,723.9","31,040.6","10.15M","-1.08%"
"07/23/2021","31,723.9","32,358.3","32,895.2","31,723.9","16.26M","-2.99%"
"07/22/2021","32,700.0","32,065.5","33,139.2","31,967.9","13.30M","1.98%"
"07/21/2021","32,065.5","32,651.2","33,041.6","31,919.1","9.94M","-1.20%"
"07/20/2021","32,456.0","31,528.6","32,504.8","30,894.2","20.03M","3.10%"
"07/19/2021","31,479.8","32,700.0","33,139.2","31,479.8","20.73M","-6.93%"
"07/16/2021","33,822.5","34,554.6","34,554.6","33,822.5","9.67M","-1.00%"
"07/15/2021","34,164.2","32,992.8","34,603.4","32,797.6","15.11M","3.86%"
"07/14/2021","32,895.2","33,822.5","34,505.8","32,895.2","16.35M","-2.60%"
"07/13/2021","33,773.7","34,652.2","35,091.5","32,992.8","11.77M","-1.14%"
"07/12/2021","34,164.2","36,165.2","36,214.0","34,164.2","28.00M","-6.91%"
"07/09/2021","36,702.1","37,287.7","37,873.4","36,116.4","18.30M","-2.59%"
"07/08/2021","37,678.2","38,361.5","39,044.8","37,678.2","14.11M","-1.15%"
"07/07/2021","38,117.4","37,873.4","38,263.9","36,702.1","26.84M","3.92%"
"07/06/2021","36,679.3","39,704.4","40,233.8","36,679.3","33.56M","-6.91%"
"07/05/2021","39,401.9","39,855.6","40,082.5","38,948.1","25.30M","-1.14%"
"07/02/2021","39,855.6","39,855.6","40,233.8","39,628.7","21.36M","0.57%"
"07/01/2021","39,628.7","39,855.6","40,309.4","39,250.6","37.74M","-0.57%"
