"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"25/08/2021","75,703.1","76,114.9","76,114.9","74,961.7","1.61M","0.00%"
"24/08/2021","75,703.1","75,373.6","75,785.4","74,055.5","3.70M","0.99%"
"23/08/2021","74,961.7","76,197.3","76,197.3","74,961.7","4.12M","-1.94%"
"20/08/2021","76,444.4","77,844.8","78,009.6","75,044.1","5.22M","-1.80%"
"19/08/2021","77,844.8","78,256.7","78,256.7","77,268.2","3.27M","0.53%"
"18/08/2021","77,432.9","77,268.2","78,174.3","77,268.2","2.34M","0.21%"
"17/08/2021","77,268.2","77,515.3","77,927.2","77,021.1","3.36M","-0.85%"
"16/08/2021","77,927.2","78,256.7","78,421.4","77,762.4","2.29M","0.64%"
"13/08/2021","77,433.0","75,884.3","77,433.0","75,802.8","4.34M","1.28%"
"12/08/2021","76,454.9","78,085.0","78,248.0","76,128.8","10.08M","-2.39%"
"11/08/2021","78,329.6","79,633.7","79,715.2","78,329.6","5.86M","-1.74%"
"10/08/2021","79,715.2","80,122.7","80,204.2","79,552.2","3.22M","0.31%"
"09/08/2021","79,470.7","79,063.1","79,633.7","78,166.5","3.52M","0.93%"
"06/08/2021","78,737.1","78,900.1","79,226.1","78,085.0","4.10M","0.00%"
"05/08/2021","78,737.1","77,596.0","79,063.1","77,351.5","2.98M","1.05%"
"04/08/2021","77,922.0","78,166.5","78,411.1","77,351.5","3.38M","-0.21%"
"03/08/2021","78,085.0","78,085.0","78,248.0","77,188.4","4.33M","0.21%"
"02/08/2021","77,922.0","76,617.9","78,737.1","76,617.9","5.13M","1.70%"
"30/07/2021","76,617.9","76,210.3","77,269.9","75,639.8","5.43M","0.64%"
"29/07/2021","76,128.8","74,987.7","76,536.4","74,743.2","4.46M","1.52%"
"28/07/2021","74,987.7","75,639.8","76,373.4","74,743.2","4.02M","-1.29%"
"27/07/2021","75,965.8","76,943.9","77,351.5","75,395.3","6.01M","-0.53%"
"26/07/2021","76,373.4","73,602.1","76,536.4","73,520.6","6.93M","3.54%"
"23/07/2021","73,765.1","72,868.5","75,721.3","72,297.9","8.11M","1.23%"
"22/07/2021","72,868.5","70,260.2","73,031.5","70,260.2","5.33M","3.23%"
"21/07/2021","70,586.3","70,749.3","71,645.9","70,178.7","4.04M","-0.23%"
"20/07/2021","70,749.3","69,119.1","70,749.3","68,385.5","3.06M","2.48%"
"19/07/2021","69,037.6","69,445.1","70,423.2","68,874.6","3.95M","-2.42%"
"16/07/2021","70,749.3","70,015.7","71,727.4","69,689.7","2.74M","1.64%"
"15/07/2021","69,608.2","69,037.6","70,586.3","69,037.6","3.26M","0.23%"
"14/07/2021","69,445.1","71,401.3","71,401.3","69,037.6","2.92M","-2.07%"
"13/07/2021","70,912.3","70,830.8","71,156.8","69,282.1","2.65M","1.05%"
"12/07/2021","70,178.7","72,379.4","73,113.0","68,141.0","8.12M","-4.01%"
"09/07/2021","73,113.0","73,031.5","74,987.7","72,379.4","3.54M","-0.11%"
"08/07/2021","73,194.5","73,683.6","73,765.1","72,542.5","2.85M","-0.77%"
"07/07/2021","73,765.1","70,912.3","74,172.6","69,282.1","5.89M","4.02%"
"06/07/2021","70,912.3","75,395.3","75,802.8","70,912.3","3.17M","-6.15%"
"05/07/2021","75,558.3","77,433.0","77,433.0","74,172.6","3.52M","0.87%"
"02/07/2021","74,906.2","72,787.0","75,395.3","72,461.0","4.65M","3.37%"
"01/07/2021","72,461.0","71,808.9","72,461.0","71,727.4","2.04M","1.02%"
