"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2021","39,682.0","39,636.0","39,818.0","39,273.0","2.37M","0.23%"
"10/08/2021","39,591.0","38,591.0","39,818.0","38,591.0","6.83M","2.83%"
"10/07/2021","38,500.0","38,364.0","38,636.0","38,227.0","3.52M","0.83%"
"10/06/2021","38,182.0","38,000.0","38,500.0","37,909.0","2.02M","1.08%"
"10/05/2021","37,773.0","37,364.0","37,773.0","37,318.0","1.84M","1.09%"
"10/04/2021","37,364.0","37,682.0","37,682.0","37,136.0","1.44M","-0.48%"
"10/01/2021","37,545.0","37,773.0","37,818.0","37,545.0","1.02M","-0.72%"
"09/30/2021","37,818.0","37,682.0","38,091.0","37,682.0","1.06M","0.00%"
"09/29/2021","37,818.0","37,818.0","38,000.0","37,409.0","1.06M","0.00%"
"09/28/2021","37,818.0","37,091.0","38,091.0","37,091.0","2.60M","0.60%"
"09/27/2021","37,591.0","38,182.0","38,273.0","37,545.0","2.80M","-1.55%"
"09/24/2021","38,182.0","38,182.0","38,500.0","37,955.0","2.22M","0.00%"
"09/23/2021","38,182.0","38,182.0","38,636.0","38,182.0","1.88M","0.00%"
"09/22/2021","38,182.0","37,955.0","39,045.0","37,727.0","2.99M","0.60%"
"09/21/2021","37,955.0","37,727.0","38,182.0","37,273.0","3.06M","-1.07%"
"09/20/2021","38,364.0","38,182.0","38,636.0","37,909.0","3.85M","0.48%"
"09/17/2021","38,182.0","38,909.0","39,091.0","38,182.0","5.93M","-1.64%"
"09/16/2021","38,818.0","37,545.0","39,136.0","37,545.0","6.74M","3.64%"
"09/15/2021","37,455.0","37,409.0","37,545.0","37,091.0","1.65M","-0.12%"
"09/14/2021","37,500.0","37,455.0","37,682.0","37,318.0","2.41M","0.00%"
"09/13/2021","37,500.0","36,864.0","37,864.0","36,864.0","5.84M","1.73%"
"09/10/2021","36,864.0","37,000.0","37,045.0","36,727.0","1.87M","0.12%"
"09/09/2021","36,818.0","36,727.0","37,091.0","36,364.0","1.75M","1.25%"
"09/08/2021","36,364.0","36,864.0","36,864.0","36,227.0","1.68M","-1.48%"
"09/07/2021","36,909.0","37,409.0","37,409.0","36,636.0","2.08M","-0.85%"
"09/06/2021","37,227.0","36,273.0","37,591.0","35,909.0","5.37M","4.20%"
"09/01/2021","35,727.0","35,864.0","36,136.0","35,545.0","1.25M","-1.13%"
"08/31/2021","36,136.0","35,909.0","36,455.0","35,727.0","2.98M","0.63%"
"08/30/2021","35,909.0","35,636.0","36,273.0","35,409.0","1.40M","0.89%"
"08/27/2021","35,591.0","34,545.0","35,591.0","34,455.0","3.20M","2.62%"
"08/26/2021","34,682.0","35,000.0","35,091.0","34,455.0","2.05M","-0.65%"
"08/25/2021","34,909.0","34,545.0","34,909.0","34,273.0","1.29M","1.05%"
"08/24/2021","34,545.0","34,545.0","34,909.0","34,091.0","2.35M","0.00%"
"08/23/2021","34,545.0","35,455.0","35,864.0","34,455.0","4.61M","-3.55%"
"08/20/2021","35,818.0","37,636.0","38,045.0","35,364.0","4.51M","-5.18%"
"08/19/2021","37,773.0","37,727.0","37,909.0","37,409.0","2.25M","0.12%"
"08/18/2021","37,727.0","37,273.0","38,273.0","37,136.0","3.14M","0.73%"
"08/17/2021","37,455.0","37,727.0","37,727.0","37,136.0","2.76M","-1.20%"
"08/16/2021","37,909.0","38,000.0","38,318.0","37,727.0","4.15M","-0.24%"
"08/13/2021","38,000.0","36,682.0","38,000.0","36,364.0","4.67M","3.47%"
"08/12/2021","36,727.0","36,182.0","37,318.0","36,182.0","4.79M","0.87%"
"08/11/2021","36,409.0","38,000.0","38,136.0","36,273.0","10.66M","-4.42%"
"08/10/2021","38,091.0","38,545.0","38,545.0","38,045.0","6.15M","-1.06%"
"08/09/2021","38,500.0","37,636.0","38,500.0","37,636.0","4.05M","2.30%"
"08/06/2021","37,636.0","37,500.0","38,545.0","37,364.0","6.28M","0.97%"
"08/05/2021","37,273.0","36,773.0","37,455.0","36,545.0","3.85M","0.99%"
"08/04/2021","36,909.0","37,182.0","37,591.0","36,545.0","5.09M","-0.85%"
"08/03/2021","37,227.0","36,455.0","37,727.0","36,409.0","5.43M","1.61%"
"08/02/2021","36,636.0","36,818.0","37,500.0","36,318.0","4.31M","-0.98%"
"07/30/2021","37,000.0","36,000.0","37,636.0","35,818.0","8.48M","2.26%"
"07/29/2021","36,182.0","35,273.0","36,182.0","34,727.0","5.55M","2.71%"
"07/28/2021","35,227.0","35,455.0","35,682.0","35,045.0","4.14M","-1.28%"
"07/27/2021","35,682.0","35,909.0","36,227.0","35,364.0","5.16M","0.26%"
"07/26/2021","35,591.0","35,455.0","36,455.0","34,955.0","6.66M","1.95%"
"07/23/2021","34,909.0","35,682.0","36,818.0","34,909.0","7.13M","-2.04%"
"07/22/2021","35,636.0","33,227.0","35,636.0","33,000.0","16.40M","6.96%"
"07/21/2021","33,318.0","33,455.0","33,727.0","33,273.0","1.88M","-0.68%"
"07/20/2021","33,545.0","34,091.0","34,727.0","33,318.0","3.61M","-1.07%"
"07/19/2021","33,909.0","33,273.0","35,909.0","33,182.0","9.50M","0.95%"
"07/16/2021","33,591.0","33,182.0","33,636.0","33,045.0","1.54M","1.65%"
"07/15/2021","33,045.0","33,545.0","33,545.0","32,818.0","1.63M","-1.23%"
"07/14/2021","33,455.0","33,000.0","33,727.0","32,273.0","3.24M","1.38%"
"07/13/2021","33,000.0","32,682.0","33,136.0","32,591.0","1.70M","0.28%"
"07/12/2021","32,909.0","33,273.0","33,364.0","31,909.0","4.09M","-1.09%"
"07/09/2021","33,273.0","33,455.0","33,682.0","33,136.0","3.54M","-0.41%"
"07/08/2021","33,409.0","33,364.0","33,545.0","32,636.0","2.98M","0.13%"
"07/07/2021","33,364.0","32,727.0","33,409.0","31,636.0","4.50M","1.66%"
"07/06/2021","32,818.0","33,409.0","33,864.0","32,818.0","3.21M","-1.90%"
"07/05/2021","33,455.0","34,000.0","34,000.0","33,455.0","2.11M","-2.13%"
"07/02/2021","34,182.0","34,273.0","34,455.0","34,091.0","2.31M","-0.27%"
"07/01/2021","34,273.0","34,136.0","34,364.0","33,818.0","2.39M","0.40%"
