"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2021","121,440","115,814","122,349","115,649","2.42M","5.16%"
"10/26/2021","115,483","117,055","117,055","114,822","1.02M","-0.57%"
"10/25/2021","116,145","118,296","118,296","116,145","690.00K","0.21%"
"10/22/2021","115,897","116,311","117,055","115,897","559.32K","-0.07%"
"10/21/2021","115,980","118,296","118,379","115,980","1.30M","-2.03%"
"10/20/2021","118,379","117,138","118,627","115,814","1.18M","1.49%"
"10/19/2021","116,641","118,875","118,875","116,559","918.00K","-1.40%"
"10/18/2021","118,296","116,724","119,206","116,641","760.80K","1.42%"
"10/15/2021","116,641","117,634","118,627","116,641","1.07M","-0.77%"
"10/14/2021","117,551","118,379","119,123","117,138","1.71M","-0.70%"
"10/13/2021","118,379","121,605","121,605","118,296","1.37M","-1.65%"
"10/12/2021","120,364","122,019","122,846","119,950","810.84K","-1.02%"
"10/11/2021","121,605","120,364","122,846","118,296","1.11M","1.03%"
"10/08/2021","120,364","117,469","120,778","117,386","1.21M","2.68%"
"10/07/2021","117,221","118,296","118,296","116,641","657.96K","-0.35%"
"10/06/2021","117,634","117,882","117,882","116,559","648.36K","0.71%"
"10/05/2021","116,807","118,048","118,213","116,311","719.16K","0.00%"
"10/04/2021","116,807","117,386","118,296","115,897","594.48K","0.86%"
"10/01/2021","115,814","117,469","118,296","115,814","1.03M","-1.82%"
"09/30/2021","117,965","116,724","119,454","116,641","905.52K","1.14%"
"09/29/2021","116,641","114,904","116,641","114,160","676.20K","3.68%"
"09/28/2021","112,505","111,595","116,393","110,934","1.54M","0.74%"
"09/27/2021","111,678","118,048","118,710","111,678","1.46M","-5.20%"
"09/24/2021","117,800","119,950","120,364","117,303","1.39M","-1.79%"
"09/23/2021","119,950","121,191","122,846","118,296","1.12M","-1.36%"
"09/22/2021","121,605","119,950","123,259","118,710","1.03M","2.44%"
"09/21/2021","118,710","116,641","119,950","116,641","1.59M","0.35%"
"09/20/2021","118,296","120,860","122,846","118,296","1.26M","-2.06%"
"09/17/2021","120,778","122,432","123,673","120,364","2.87M","-2.54%"
"09/16/2021","123,921","121,605","124,087","120,116","2.74M","3.38%"
"09/15/2021","119,868","111,678","119,868","111,678","3.36M","6.94%"
"09/14/2021","112,092","109,031","112,257","108,204","3.08M","3.75%"
"09/13/2021","108,038","108,369","109,196","107,625","1.52M","0.46%"
"09/10/2021","107,542","108,783","109,527","107,542","853.56K","-0.76%"
"09/09/2021","108,369","105,722","109,362","105,556","1.23M","2.34%"
"09/08/2021","105,887","106,715","107,542","105,887","1.67M","-1.39%"
"09/07/2021","107,376","108,535","108,535","107,128","1.85M","-0.99%"
"09/06/2021","108,452","110,851","110,851","108,452","1.82M","-1.65%"
"09/01/2021","110,272","111,016","112,092","110,024","1.23M","-1.26%"
"08/31/2021","111,678","109,693","112,505","109,196","3.75M","1.81%"
"08/30/2021","109,693","114,573","114,573","109,693","3.24M","-2.43%"
"08/27/2021","112,423","109,279","112,836","109,279","2.31M","1.42%"
"08/26/2021","110,851","111,761","113,498","109,279","1.16M","-0.74%"
"08/25/2021","111,678","107,376","112,919","106,797","1.40M","5.06%"
"08/24/2021","106,301","105,060","107,376","105,060","1.56M","1.18%"
"08/23/2021","105,060","110,024","110,437","105,060","2.06M","-5.08%"
"08/20/2021","110,685","111,926","112,340","109,941","1.57M","-1.83%"
"08/19/2021","112,753","112,505","112,753","111,264","1.01M","1.34%"
"08/18/2021","111,264","111,678","113,250","110,851","1.56M","1.51%"
"08/17/2021","109,610","111,513","111,595","109,610","952.32K","-0.75%"
"08/16/2021","110,437","111,264","112,919","109,362","1.16M","0.00%"
"08/13/2021","110,437","109,610","110,851","109,031","1.67M","-0.37%"
"08/12/2021","110,851","114,573","114,573","110,851","2.34M","-1.90%"
"08/11/2021","113,002","114,987","116,641","113,002","1.19M","-1.37%"
"08/10/2021","114,573","116,641","117,055","114,573","1.21M","-1.77%"
"08/09/2021","116,641","110,851","116,641","110,851","1.83M","4.83%"
"08/06/2021","111,264","111,761","112,505","111,264","804.60K","-0.37%"
"08/05/2021","111,678","111,761","113,250","111,099","1.62M","-0.74%"
"08/04/2021","112,505","113,994","114,160","111,843","1.91M","-1.31%"
"08/03/2021","113,994","112,505","114,160","111,678","1.63M","1.17%"
"08/02/2021","112,671","110,685","114,160","108,369","1.52M","1.64%"
"07/30/2021","110,851","105,887","113,002","105,226","3.19M","4.93%"
"07/29/2021","105,639","102,992","105,887","101,751","1.41M","2.57%"
"07/28/2021","102,992","103,406","103,736","102,578","1.01M","-0.80%"
"07/27/2021","103,819","99,683","104,646","99,683","2.32M","3.63%"
"07/26/2021","100,179","99,187","100,510","97,367","1.51M","1.76%"
"07/23/2021","98,442","100,179","101,089","98,442","1.98M","-3.17%"
"07/22/2021","101,668","100,924","101,751","99,269","1.32M","0.74%"
"07/21/2021","100,924","101,751","102,744","100,924","1.67M","-0.81%"
"07/20/2021","101,751","98,856","101,751","97,284","2.14M","3.01%"
"07/19/2021","98,773","98,028","103,406","98,028","1.72M","-0.91%"
"07/16/2021","99,683","95,547","100,097","94,968","2.37M","4.78%"
"07/15/2021","95,133","94,306","97,532","93,892","1.27M","-1.03%"
"07/14/2021","96,126","95,133","96,705","91,990","1.72M","1.04%"
"07/13/2021","95,133","99,187","99,187","93,644","1.83M","-4.09%"
"07/12/2021","99,187","97,615","99,187","90,583","2.52M","2.57%"
"07/09/2021","96,705","97,615","101,337","95,133","2.57M","-2.42%"
"07/08/2021","99,104","95,133","99,269","94,306","3.00M","3.28%"
"07/07/2021","95,960","90,170","95,960","87,771","2.96M","6.42%"
"07/06/2021","90,170","90,997","92,651","89,342","2.51M","-2.33%"
"07/05/2021","92,321","93,313","93,727","87,688","2.66M","-2.02%"
"07/02/2021","94,223","94,306","94,637","93,644","1.55M","0.35%"
"07/01/2021","93,892","92,155","94,306","91,080","2.05M","2.76%"
