"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2021","30,707.5","31,103.2","31,221.9","30,707.5","2.09M","-1.65%"
"09/30/2021","31,221.9","31,538.5","31,657.2","31,142.7","1.38M","-1.13%"
"09/29/2021","31,578.0","31,696.7","31,696.7","31,103.2","1.49M","-0.50%"
"09/28/2021","31,736.3","31,182.3","31,934.2","31,024.0","2.75M","1.78%"
"09/27/2021","31,182.3","31,419.7","31,736.3","31,024.0","1.52M","-0.76%"
"09/24/2021","31,419.7","31,261.5","31,498.9","31,221.9","1.21M","0.63%"
"09/23/2021","31,221.9","31,498.9","31,578.0","31,221.9","1.36M","-0.38%"
"09/22/2021","31,340.6","31,340.6","31,578.0","30,944.9","1.59M","-0.13%"
"09/21/2021","31,380.2","31,261.5","31,498.9","31,024.0","1.92M","-0.63%"
"09/20/2021","31,578.0","31,696.7","31,894.6","31,578.0","2.46M","-0.25%"
"09/17/2021","31,657.2","31,340.6","32,013.3","31,340.6","2.24M","1.52%"
"09/16/2021","31,182.3","30,944.9","31,261.5","30,905.3","1.84M","1.55%"
"09/15/2021","30,707.5","30,549.2","30,865.7","30,549.2","1.33M","0.26%"
"09/14/2021","30,628.3","30,944.9","30,984.5","30,549.2","1.78M","-1.15%"
"09/13/2021","30,984.5","31,380.2","31,380.2","30,865.7","2.18M","-1.26%"
"09/10/2021","31,380.2","31,657.2","31,657.2","31,340.6","998.40K","-0.38%"
"09/09/2021","31,498.9","31,340.6","31,498.9","31,301.0","1.06M","0.51%"
"09/08/2021","31,340.6","31,815.5","31,973.7","31,261.5","1.79M","-0.25%"
"09/07/2021","31,419.7","31,103.2","31,815.5","30,984.5","2.15M","1.53%"
"09/06/2021","30,944.9","30,905.3","31,261.5","30,826.2","1.72M","0.26%"
"09/01/2021","30,865.7","30,707.5","30,944.9","30,588.7","1.71M","0.13%"
"08/31/2021","30,826.2","31,340.6","31,340.6","30,826.2","2.28M","-1.27%"
"08/30/2021","31,221.9","30,865.7","31,261.5","30,707.5","1.77M","1.94%"
"08/27/2021","30,628.3","30,470.0","30,865.7","29,916.0","2.40M","0.26%"
"08/26/2021","30,549.2","31,380.2","31,380.2","30,074.3","2.57M","-2.15%"
"08/25/2021","31,221.9","31,261.5","31,301.0","30,865.7","1.39M","0.13%"
"08/24/2021","31,182.3","31,103.2","31,419.7","30,786.6","3.20M","0.25%"
"08/23/2021","31,103.2","32,052.9","32,290.3","31,103.2","3.45M","-2.96%"
"08/20/2021","32,052.9","33,714.9","33,952.3","31,657.2","5.49M","-4.71%"
"08/19/2021","33,635.8","33,714.9","33,714.9","33,358.8","2.27M","-0.35%"
"08/18/2021","33,754.5","33,952.3","34,031.5","33,635.8","1.90M","-0.70%"
"08/17/2021","33,991.9","34,506.3","34,506.3","33,873.2","1.97M","-0.81%"
"08/16/2021","34,268.9","33,517.0","34,427.2","33,240.0","4.13M","1.76%"
"08/13/2021","33,675.3","33,754.5","34,031.5","33,081.7","2.90M","-0.58%"
"08/12/2021","33,873.2","34,308.5","34,348.0","33,873.2","2.15M","-0.70%"
"08/11/2021","34,110.6","34,268.9","34,902.0","33,952.3","3.45M","-0.46%"
"08/10/2021","34,268.9","34,229.3","34,427.2","34,071.0","2.35M","0.35%"
"08/09/2021","34,150.2","33,675.3","34,150.2","33,517.0","2.19M","0.58%"
"08/06/2021","33,952.3","33,991.9","34,348.0","33,714.9","2.35M","-0.12%"
"08/05/2021","33,991.9","33,714.9","34,427.2","33,477.5","2.66M","-0.12%"
"08/04/2021","34,031.5","34,348.0","34,427.2","33,794.0","2.69M","-0.81%"
"08/03/2021","34,308.5","33,477.5","34,308.5","33,319.2","3.48M","1.88%"
"08/02/2021","33,675.3","33,240.0","33,991.9","33,240.0","4.98M","3.53%"
"07/30/2021","32,527.7","32,686.0","32,725.6","32,409.0","2.56M","0.24%"
"07/29/2021","32,448.6","32,290.3","32,448.6","32,132.0","1.48M","1.23%"
"07/28/2021","32,052.9","31,815.5","32,052.9","31,657.2","1.55M","0.75%"
"07/27/2021","31,815.5","31,973.7","32,290.3","31,775.9","1.80M","0.50%"
"07/26/2021","31,657.2","31,657.2","31,934.2","31,261.5","1.81M","-0.50%"
"07/23/2021","31,815.5","32,369.5","32,844.3","31,815.5","2.29M","-1.95%"
"07/22/2021","32,448.6","32,132.0","32,527.7","32,132.0","2.14M","0.74%"
"07/21/2021","32,211.2","32,765.2","32,765.2","32,052.9","1.46M","-0.73%"
"07/20/2021","32,448.6","31,419.7","32,448.6","30,786.6","3.41M","3.40%"
"07/19/2021","31,380.2","32,527.7","33,160.9","31,380.2","3.72M","-6.71%"
"07/16/2021","33,635.8","33,873.2","34,031.5","33,635.8","1.78M","-0.47%"
"07/15/2021","33,794.0","33,279.6","34,150.2","33,240.0","2.26M","0.23%"
"07/14/2021","33,714.9","33,635.8","33,794.0","32,448.6","2.25M","0.47%"
"07/13/2021","33,556.6","33,635.8","33,833.6","32,883.9","2.49M","0.95%"
"07/12/2021","33,240.0","35,297.8","35,297.8","33,081.7","7.57M","-6.46%"
"07/09/2021","35,535.2","35,772.6","36,405.8","34,822.9","4.51M","-1.97%"
"07/08/2021","36,247.5","36,010.0","36,524.5","35,574.8","2.68M","0.66%"
"07/07/2021","36,010.0","35,218.6","36,128.8","34,506.3","4.96M","3.41%"
"07/06/2021","34,822.9","37,118.0","38,463.5","34,822.9","8.67M","-5.68%"
"07/05/2021","36,920.2","37,236.8","37,236.8","35,772.6","4.39M","-0.85%"
"07/02/2021","37,236.8","37,592.9","37,790.8","37,118.0","5.29M","-0.53%"
"07/01/2021","37,434.6","37,592.9","37,711.6","37,078.5","5.79M","0.11%"
